Date,Product,Region,Price,Units_Sold,Revenue
2023-01-11,Shampoo,North,11.96,124,1483.0400000000002
2023-01-11,Protein Bar,West,2.88,114,328.32
2023-01-11,Smart Lamp,South,43.24,108,4669.92
2023-01-11,Yoga Mat,East,20.88,86,1795.6799999999998
2023-01-11,Earbuds,North,52.89,157,8303.73
2023-01-12,Shampoo,North,8.71,125,1088.75
2023-01-12,Protein Bar,West,2.3,92,211.6
2023-01-12,Smart Lamp,West,33.44,140,4681.599999999999
2023-01-12,Yoga Mat,North,16.2,69,1117.8
2023-01-12,Earbuds,East,63.58,50,3179.0
2023-01-13,Shampoo,North,11.21,68,762.2800000000001
2023-01-13,Protein Bar,East,2.12,107,226.84
2023-01-13,Smart Lamp,North,35.89,133,4773.37
2023-01-13,Yoga Mat,South,17.38,90,1564.1999999999998
2023-01-13,Earbuds,North,60.3,73,4401.9
2023-01-14,Shampoo,East,9.67,166,1605.22
2023-01-14,Protein Bar,East,2.92,64,186.88
2023-01-14,Smart Lamp,West,31.48,148,4659.04
2023-01-14,Yoga Mat,South,21.26,79,1679.5400000000002
2023-01-14,Earbuds,North,67.68,105,7106.400000000001
2023-01-15,Shampoo,West,9.49,86,816.14
2023-01-15,Protein Bar,South,2.44,132,322.08
2023-01-15,Smart Lamp,West,42.84,133,5697.72
2023-01-15,Yoga Mat,West,19.72,117,2307.24
2023-01-15,Earbuds,West,54.52,136,7414.72
2023-01-16,Shampoo,North,9.13,89,812.57
2023-01-16,Protein Bar,East,2.01,102,205.01999999999998
2023-01-16,Smart Lamp,North,40.42,115,4648.3
2023-01-16,Yoga Mat,West,17.62,99,1744.38
2023-01-16,Earbuds,East,48.23,157,7572.11
2023-01-17,Shampoo,West,10.27,74,759.98
2023-01-17,Protein Bar,South,2.82,107,301.74
2023-01-17,Smart Lamp,West,32.75,125,4093.75
2023-01-17,Yoga Mat,West,21.3,96,2044.8000000000002
2023-01-17,Earbuds,East,65.58,69,4525.0199999999995
2023-01-18,Shampoo,North,11.42,41,468.21999999999997
2023-01-18,Protein Bar,North,2.63,77,202.51
2023-01-18,Smart Lamp,South,37.7,127,4787.900000000001
2023-01-18,Yoga Mat,East,17.98,94,1690.1200000000001
2023-01-18,Earbuds,South,54.21,149,8077.29
2023-01-19,Shampoo,West,9.91,123,1218.93
2023-01-19,Protein Bar,South,2.64,113,298.32
2023-01-19,Smart Lamp,North,41.07,102,4189.14
2023-01-19,Yoga Mat,South,20.48,99,2027.52
2023-01-19,Earbuds,East,49.44,140,6921.599999999999
2023-01-20,Shampoo,East,8.54,78,666.1199999999999
2023-01-20,Protein Bar,South,2.58,77,198.66
2023-01-20,Smart Lamp,West,35.15,85,2987.75
2023-01-20,Yoga Mat,North,19.88,124,2465.12
2023-01-20,Earbuds,North,58.2,109,6343.8
2023-01-21,Shampoo,East,11.19,49,548.31
2023-01-21,Protein Bar,South,2.11,81,170.91
2023-01-21,Smart Lamp,East,41.46,85,3524.1
2023-01-21,Yoga Mat,South,17.74,111,1969.1399999999999
2023-01-21,Earbuds,West,53.58,117,6268.86
2023-01-22,Shampoo,South,8.58,117,1003.86
2023-01-22,Protein Bar,North,2.37,79,187.23000000000002
2023-01-22,Smart Lamp,East,43.37,99,4293.63
2023-01-22,Yoga Mat,North,22.7,106,2406.2
2023-01-22,Earbuds,East,67.27,46,3094.4199999999996
2023-01-23,Shampoo,North,10.34,111,1147.74
2023-01-23,Protein Bar,East,2.81,60,168.6
2023-01-23,Smart Lamp,North,38.1,116,4419.6
2023-01-23,Yoga Mat,South,16.04,66,1058.6399999999999
2023-01-23,Earbuds,West,53.9,135,7276.5
2023-01-24,Shampoo,West,8.35,115,960.25
2023-01-24,Protein Bar,South,2.23,111,247.53
2023-01-24,Smart Lamp,North,45.41,82,3723.62
2023-01-24,Yoga Mat,North,15.24,64,975.36
2023-01-24,Earbuds,North,52.83,72,3803.7599999999998
2023-01-25,Shampoo,West,11.19,107,1197.33
2023-01-25,Protein Bar,West,2.83,108,305.64
2023-01-25,Smart Lamp,North,41.03,68,2790.04
2023-01-25,Yoga Mat,West,16.67,108,1800.3600000000001
2023-01-25,Earbuds,East,70.33,54,3797.8199999999997
2023-01-26,Shampoo,East,8.16,90,734.4
2023-01-26,Protein Bar,South,2.16,82,177.12
2023-01-26,Smart Lamp,North,38.35,109,4180.150000000001
2023-01-26,Yoga Mat,South,19.55,121,2365.55
2023-01-26,Earbuds,North,60.84,111,6753.240000000001
2023-01-27,Shampoo,North,11.75,93,1092.75
2023-01-27,Protein Bar,North,2.46,142,349.32
2023-01-27,Smart Lamp,North,35.54,99,3518.46
2023-01-27,Yoga Mat,South,20.02,95,1901.8999999999999
2023-01-27,Earbuds,West,52.34,100,5234.0
2023-01-28,Shampoo,East,9.66,148,1429.68
2023-01-28,Protein Bar,South,2.56,89,227.84
2023-01-28,Smart Lamp,East,41.38,100,4138.0
2023-01-28,Yoga Mat,North,19.37,119,2305.03
2023-01-28,Earbuds,South,59.3,128,7590.4
2023-01-29,Shampoo,West,11.67,83,968.61
2023-01-29,Protein Bar,East,2.31,89,205.59
2023-01-29,Smart Lamp,West,44.34,76,3369.84
2023-01-29,Yoga Mat,North,16.51,114,1882.14
2023-01-29,Earbuds,South,47.55,126,5991.299999999999
2023-01-30,Shampoo,West,8.61,79,680.1899999999999
2023-01-30,Protein Bar,East,2.36,152,358.71999999999997
2023-01-30,Smart Lamp,West,36.05,108,3893.3999999999996
2023-01-30,Yoga Mat,West,18.15,108,1960.1999999999998
2023-01-30,Earbuds,East,59.59,105,6256.950000000001
2023-01-31,Shampoo,West,11.33,68,770.44
2023-01-31,Protein Bar,West,2.98,105,312.9
2023-01-31,Smart Lamp,South,37.32,111,4142.52
2023-01-31,Yoga Mat,North,18.77,86,1614.22
2023-01-31,Earbuds,West,68.61,35,2401.35
2023-02-01,Shampoo,North,9.95,103,1024.85
2023-02-01,Protein Bar,South,2.08,87,180.96
2023-02-01,Smart Lamp,North,41.33,84,3471.72
2023-02-01,Yoga Mat,East,15.64,132,2064.48
2023-02-01,Earbuds,South,67.13,80,5370.4
2023-02-02,Shampoo,South,11.4,82,934.8000000000001
2023-02-02,Protein Bar,East,2.84,66,187.44
2023-02-02,Smart Lamp,West,37.42,101,3779.42
2023-02-02,Yoga Mat,West,17.78,118,2098.04
2023-02-02,Earbuds,East,69.09,51,3523.59
2023-02-03,Shampoo,South,8.02,105,842.0999999999999
2023-02-03,Protein Bar,East,2.62,136,356.32
2023-02-03,Smart Lamp,West,43.08,71,3058.68
2023-02-03,Yoga Mat,East,22.52,70,1576.3999999999999
2023-02-03,Earbuds,West,64.48,47,3030.5600000000004
2023-02-04,Shampoo,South,10.61,75,795.75
2023-02-04,Protein Bar,West,2.72,55,149.60000000000002
2023-02-04,Smart Lamp,West,43.33,100,4333.0
2023-02-04,Yoga Mat,South,22.63,91,2059.33
2023-02-04,Earbuds,North,49.2,130,6396.0
2023-02-05,Shampoo,East,11.28,90,1015.1999999999999
2023-02-05,Protein Bar,South,2.04,95,193.8
2023-02-05,Smart Lamp,North,43.27,56,2423.1200000000003
2023-02-05,Yoga Mat,South,21.29,90,1916.1
2023-02-05,Earbuds,North,67.45,68,4586.6
2023-02-06,Shampoo,East,10.7,83,888.0999999999999
2023-02-06,Protein Bar,North,2.66,59,156.94
2023-02-06,Smart Lamp,West,36.63,85,3113.55
2023-02-06,Yoga Mat,West,18.22,95,1730.8999999999999
2023-02-06,Earbuds,East,51.63,128,6608.64
2023-02-07,Shampoo,North,11.22,137,1537.14
2023-02-07,Protein Bar,East,2.4,98,235.2
2023-02-07,Smart Lamp,North,37.32,113,4217.16
2023-02-07,Yoga Mat,North,16.22,93,1508.4599999999998
2023-02-07,Earbuds,South,47.62,129,6142.98
2023-02-08,Shampoo,South,9.36,68,636.48
2023-02-08,Protein Bar,South,2.53,92,232.76
2023-02-08,Smart Lamp,East,34.87,121,4219.2699999999995
2023-02-08,Yoga Mat,South,20.84,110,2292.4
2023-02-08,Earbuds,West,54.27,138,7489.26
2023-02-09,Shampoo,North,11.49,105,1206.45
2023-02-09,Protein Bar,East,2.78,120,333.59999999999997
2023-02-09,Smart Lamp,West,46.72,55,2569.6
2023-02-09,Yoga Mat,North,16.61,135,2242.35
2023-02-09,Earbuds,East,69.75,61,4254.75
2023-02-10,Shampoo,West,8.14,84,683.76
2023-02-10,Protein Bar,West,2.24,74,165.76000000000002
2023-02-10,Smart Lamp,West,39.25,85,3336.25
2023-02-10,Yoga Mat,South,18.12,116,2101.92
2023-02-10,Earbuds,West,52.09,128,6667.52
2023-02-11,Shampoo,South,8.0,113,904.0
2023-02-11,Protein Bar,North,1.99,65,129.35
2023-02-11,Smart Lamp,East,37.93,89,3375.77
2023-02-11,Yoga Mat,North,17.18,49,841.8199999999999
2023-02-11,Earbuds,South,63.32,114,7218.4800000000005
2023-02-12,Shampoo,South,11.71,74,866.5400000000001
2023-02-12,Protein Bar,North,2.14,110,235.4
2023-02-12,Smart Lamp,North,45.53,95,4325.35
2023-02-12,Yoga Mat,North,16.04,74,1186.96
2023-02-12,Earbuds,North,60.63,57,3455.9100000000003
2023-02-13,Shampoo,East,11.4,134,1527.6000000000001
2023-02-13,Protein Bar,West,2.76,96,264.96
2023-02-13,Smart Lamp,West,38.29,158,6049.82
2023-02-13,Yoga Mat,East,17.95,126,2261.7
2023-02-13,Earbuds,West,61.38,120,7365.6
2023-02-14,Shampoo,West,9.26,95,879.6999999999999
2023-02-14,Protein Bar,North,2.01,80,160.79999999999998
2023-02-14,Smart Lamp,South,42.25,116,4901.0
2023-02-14,Yoga Mat,East,19.71,99,1951.2900000000002
2023-02-14,Earbuds,North,63.56,72,4576.32
2023-02-15,Shampoo,North,8.01,120,961.1999999999999
2023-02-15,Protein Bar,South,2.57,105,269.84999999999997
2023-02-15,Smart Lamp,North,39.56,74,2927.44
2023-02-15,Yoga Mat,South,15.58,127,1978.66
2023-02-15,Earbuds,East,66.94,73,4886.62
2023-02-16,Shampoo,West,8.92,98,874.16
2023-02-16,Protein Bar,West,2.54,109,276.86
2023-02-16,Smart Lamp,West,42.52,73,3103.96
2023-02-16,Yoga Mat,East,18.39,105,1930.95
2023-02-16,Earbuds,South,65.99,56,3695.4399999999996
2023-02-17,Shampoo,East,11.55,87,1004.85
2023-02-17,Protein Bar,South,2.14,103,220.42000000000002
2023-02-17,Smart Lamp,West,44.6,74,3300.4
2023-02-17,Yoga Mat,West,18.77,101,1895.77
2023-02-17,Earbuds,East,59.4,101,5999.4
2023-02-18,Shampoo,West,11.12,69,767.28
2023-02-18,Protein Bar,East,2.85,78,222.3
2023-02-18,Smart Lamp,South,34.39,126,4333.14
2023-02-18,Yoga Mat,East,18.07,138,2493.66
2023-02-18,Earbuds,East,56.51,180,10171.8
2023-02-19,Shampoo,South,9.63,117,1126.71
2023-02-19,Protein Bar,North,2.46,102,250.92
2023-02-19,Smart Lamp,North,33.25,133,4422.25
2023-02-19,Yoga Mat,North,17.78,73,1297.94
2023-02-19,Earbuds,West,64.98,72,4678.56
2023-02-20,Shampoo,West,8.8,91,800.8000000000001
2023-02-20,Protein Bar,North,2.25,98,220.5
2023-02-20,Smart Lamp,North,46.17,17,784.89
2023-02-20,Yoga Mat,East,17.12,102,1746.24
2023-02-20,Earbuds,West,67.89,74,5023.86
2023-02-21,Shampoo,West,11.8,73,861.4000000000001
2023-02-21,Protein Bar,North,2.3,37,85.1
2023-02-21,Smart Lamp,East,40.82,78,3183.96
2023-02-21,Yoga Mat,South,17.12,123,2105.76
2023-02-21,Earbuds,North,64.55,75,4841.25
2023-02-22,Shampoo,North,9.61,111,1066.71
2023-02-22,Protein Bar,West,2.93,137,401.41
2023-02-22,Smart Lamp,South,32.77,97,3178.6900000000005
2023-02-22,Yoga Mat,South,18.34,108,1980.72
2023-02-22,Earbuds,North,63.96,113,7227.4800000000005
2023-02-23,Shampoo,West,8.98,63,565.74
2023-02-23,Protein Bar,North,2.93,85,249.05
2023-02-23,Smart Lamp,West,38.85,100,3885.0
2023-02-23,Yoga Mat,South,18.5,105,1942.5
2023-02-23,Earbuds,North,58.58,137,8025.46
2023-02-24,Shampoo,West,10.21,104,1061.8400000000001
2023-02-24,Protein Bar,North,2.11,112,236.32
2023-02-24,Smart Lamp,North,40.69,96,3906.24
2023-02-24,Yoga Mat,South,16.62,53,880.86
2023-02-24,Earbuds,South,64.7,90,5823.0
2023-02-25,Shampoo,South,9.36,99,926.64
2023-02-25,Protein Bar,East,2.78,102,283.56
2023-02-25,Smart Lamp,East,34.51,112,3865.12
2023-02-25,Yoga Mat,West,20.06,66,1323.9599999999998
2023-02-25,Earbuds,North,48.66,160,7785.599999999999
2023-02-26,Shampoo,West,8.6,114,980.4
2023-02-26,Protein Bar,East,2.31,88,203.28
2023-02-26,Smart Lamp,East,41.5,102,4233.0
2023-02-26,Yoga Mat,East,17.8,115,2047.0
2023-02-26,Earbuds,East,67.17,41,2753.9700000000003
2023-02-27,Shampoo,North,10.99,105,1153.95
2023-02-27,Protein Bar,North,2.65,143,378.95
2023-02-27,Smart Lamp,South,42.72,85,3631.2
2023-02-27,Yoga Mat,East,20.67,102,2108.34
2023-02-27,Earbuds,East,62.47,68,4247.96
2023-02-28,Shampoo,South,9.75,113,1101.75
2023-02-28,Protein Bar,North,2.64,117,308.88
2023-02-28,Smart Lamp,West,36.29,87,3157.23
2023-02-28,Yoga Mat,North,17.07,87,1485.09
2023-02-28,Earbuds,West,53.69,136,7301.84
2023-03-01,Shampoo,North,11.63,106,1232.78
2023-03-01,Protein Bar,West,2.69,55,147.95
2023-03-01,Smart Lamp,West,40.96,122,4997.12
2023-03-01,Yoga Mat,South,18.24,108,1969.9199999999998
2023-03-01,Earbuds,East,67.85,79,5360.15
2023-03-02,Shampoo,West,11.73,81,950.13
2023-03-02,Protein Bar,West,2.48,95,235.6
2023-03-02,Smart Lamp,South,35.01,119,4166.19
2023-03-02,Yoga Mat,West,22.63,59,1335.1699999999998
2023-03-02,Earbuds,North,65.2,59,3846.8
2023-03-03,Shampoo,South,10.57,106,1120.42
2023-03-03,Protein Bar,South,2.58,125,322.5
2023-03-03,Smart Lamp,South,44.62,64,2855.68
2023-03-03,Yoga Mat,South,17.75,133,2360.75
2023-03-03,Earbuds,West,65.47,49,3208.0299999999997
2023-03-04,Shampoo,South,11.98,107,1281.8600000000001
2023-03-04,Protein Bar,North,2.61,99,258.39
2023-03-04,Smart Lamp,West,32.29,135,4359.15
2023-03-04,Yoga Mat,North,21.92,68,1490.5600000000002
2023-03-04,Earbuds,East,66.85,58,3877.2999999999997
2023-03-05,Shampoo,North,9.99,117,1168.83
2023-03-05,Protein Bar,North,2.98,109,324.82
2023-03-05,Smart Lamp,West,42.55,115,4893.25
2023-03-05,Yoga Mat,North,18.71,117,2189.07
2023-03-05,Earbuds,South,55.54,117,6498.18
2023-03-06,Shampoo,West,11.27,123,1386.21
2023-03-06,Protein Bar,South,2.79,73,203.67000000000002
2023-03-06,Smart Lamp,East,33.44,142,4748.48
2023-03-06,Yoga Mat,West,19.26,82,1579.3200000000002
2023-03-06,Earbuds,North,47.21,140,6609.400000000001
2023-03-07,Shampoo,South,10.6,132,1399.2
2023-03-07,Protein Bar,North,2.14,81,173.34
2023-03-07,Smart Lamp,West,43.98,106,4661.88
2023-03-07,Yoga Mat,East,20.81,92,1914.52
2023-03-07,Earbuds,South,64.91,92,5971.719999999999
2023-03-08,Shampoo,East,8.87,110,975.6999999999999
2023-03-08,Protein Bar,North,2.08,102,212.16
2023-03-08,Smart Lamp,North,44.04,101,4448.04
2023-03-08,Yoga Mat,South,20.17,110,2218.7000000000003
2023-03-08,Earbuds,West,67.85,4,271.4
2023-03-09,Shampoo,West,8.87,95,842.65
2023-03-09,Protein Bar,North,2.72,101,274.72
2023-03-09,Smart Lamp,East,42.28,75,3171.0
2023-03-09,Yoga Mat,South,19.77,86,1700.22
2023-03-09,Earbuds,South,65.09,37,2408.33
2023-03-10,Shampoo,West,9.53,99,943.4699999999999
2023-03-10,Protein Bar,South,2.55,88,224.39999999999998
2023-03-10,Smart Lamp,North,31.22,127,3964.94
2023-03-10,Yoga Mat,North,16.51,119,1964.6900000000003
2023-03-10,Earbuds,West,58.44,132,7714.08
2023-03-11,Shampoo,West,10.33,66,681.78
2023-03-11,Protein Bar,West,2.21,70,154.7
2023-03-11,Smart Lamp,North,33.95,112,3802.4000000000005
2023-03-11,Yoga Mat,South,17.64,106,1869.8400000000001
2023-03-11,Earbuds,South,53.45,136,7269.200000000001
2023-03-12,Shampoo,North,11.54,29,334.65999999999997
2023-03-12,Protein Bar,West,2.11,46,97.05999999999999
2023-03-12,Smart Lamp,West,44.5,107,4761.5
2023-03-12,Yoga Mat,West,22.77,71,1616.67
2023-03-12,Earbuds,South,54.84,132,7238.88
2023-03-13,Shampoo,West,8.67,73,632.91
2023-03-13,Protein Bar,South,2.48,104,257.92
2023-03-13,Smart Lamp,West,40.32,99,3991.68
2023-03-13,Yoga Mat,West,16.67,126,2100.42
2023-03-13,Earbuds,North,55.66,111,6178.259999999999
2023-03-14,Shampoo,South,10.52,60,631.1999999999999
2023-03-14,Protein Bar,West,2.32,132,306.23999999999995
2023-03-14,Smart Lamp,South,38.4,82,3148.7999999999997
2023-03-14,Yoga Mat,East,17.83,117,2086.1099999999997
2023-03-14,Earbuds,East,51.12,139,7105.679999999999
2023-03-15,Shampoo,East,10.24,97,993.28
2023-03-15,Protein Bar,West,2.82,116,327.12
2023-03-15,Smart Lamp,West,32.02,153,4899.06
2023-03-15,Yoga Mat,West,22.22,82,1822.04
2023-03-15,Earbuds,East,63.26,88,5566.88
2023-03-16,Shampoo,North,10.96,62,679.5200000000001
2023-03-16,Protein Bar,West,2.0,96,192.0
2023-03-16,Smart Lamp,West,44.91,94,4221.54
2023-03-16,Yoga Mat,South,16.42,85,1395.7
2023-03-16,Earbuds,North,59.86,59,3531.74
2023-03-17,Shampoo,West,8.74,86,751.64
2023-03-17,Protein Bar,North,2.36,118,278.47999999999996
2023-03-17,Smart Lamp,North,40.0,38,1520.0
2023-03-17,Yoga Mat,West,18.43,85,1566.55
2023-03-17,Earbuds,South,65.96,61,4023.5599999999995
2023-03-18,Shampoo,East,9.21,102,939.4200000000001
2023-03-18,Protein Bar,West,2.45,117,286.65000000000003
2023-03-18,Smart Lamp,North,41.63,60,2497.8
2023-03-18,Yoga Mat,South,18.71,94,1758.74
2023-03-18,Earbuds,East,50.5,87,4393.5
2023-03-19,Shampoo,North,11.78,101,1189.78
2023-03-19,Protein Bar,North,2.96,132,390.71999999999997
2023-03-19,Smart Lamp,North,41.09,79,3246.11
2023-03-19,Yoga Mat,North,15.47,111,1717.17
2023-03-19,Earbuds,East,48.15,136,6548.4
2023-03-20,Shampoo,South,11.6,94,1090.3999999999999
2023-03-20,Protein Bar,North,2.11,131,276.40999999999997
2023-03-20,Smart Lamp,East,33.63,108,3632.0400000000004
2023-03-20,Yoga Mat,East,18.22,102,1858.4399999999998
2023-03-20,Earbuds,South,70.06,51,3573.06
2023-03-21,Shampoo,South,11.85,129,1528.6499999999999
2023-03-21,Protein Bar,East,2.7,118,318.6
2023-03-21,Smart Lamp,West,45.92,74,3398.08
2023-03-21,Yoga Mat,South,19.35,116,2244.6000000000004
2023-03-21,Earbuds,East,63.83,20,1276.6
2023-03-22,Shampoo,South,9.54,113,1078.02
2023-03-22,Protein Bar,South,2.07,101,209.07
2023-03-22,Smart Lamp,West,45.72,65,2971.7999999999997
2023-03-22,Yoga Mat,East,16.76,151,2530.76
2023-03-22,Earbuds,East,59.37,79,4690.23
2023-03-23,Shampoo,West,8.19,99,810.81
2023-03-23,Protein Bar,North,2.19,111,243.09
2023-03-23,Smart Lamp,East,40.97,99,4056.0299999999997
2023-03-23,Yoga Mat,East,19.9,132,2626.7999999999997
2023-03-23,Earbuds,West,49.34,191,9423.94
2023-03-24,Shampoo,West,11.77,86,1012.2199999999999
2023-03-24,Protein Bar,South,2.17,130,282.09999999999997
2023-03-24,Smart Lamp,North,41.7,112,4670.400000000001
2023-03-24,Yoga Mat,South,16.48,97,1598.56
2023-03-24,Earbuds,East,49.73,141,7011.929999999999
2023-03-25,Shampoo,South,9.74,31,301.94
2023-03-25,Protein Bar,West,2.47,96,237.12
2023-03-25,Smart Lamp,South,34.76,116,4032.16
2023-03-25,Yoga Mat,North,22.66,74,1676.84
2023-03-25,Earbuds,South,48.62,150,7293.0
2023-03-26,Shampoo,West,11.12,111,1234.32
2023-03-26,Protein Bar,South,2.62,138,361.56
2023-03-26,Smart Lamp,West,41.68,75,3126.0
2023-03-26,Yoga Mat,West,21.37,81,1730.97
2023-03-26,Earbuds,East,58.05,69,4005.45
2023-03-27,Shampoo,North,8.79,86,755.9399999999999
2023-03-27,Protein Bar,East,2.88,128,368.64
2023-03-27,Smart Lamp,South,33.61,159,5343.99
2023-03-27,Yoga Mat,North,19.22,111,2133.42
2023-03-27,Earbuds,West,51.33,137,7032.21
2023-03-28,Shampoo,South,8.58,93,797.94
2023-03-28,Protein Bar,South,2.54,75,190.5
2023-03-28,Smart Lamp,North,38.71,83,3212.9300000000003
2023-03-28,Yoga Mat,West,18.61,85,1581.85
2023-03-28,Earbuds,North,55.72,112,6240.639999999999
2023-03-29,Shampoo,North,8.95,119,1065.05
2023-03-29,Protein Bar,South,2.26,119,268.94
2023-03-29,Smart Lamp,North,36.96,76,2808.96
2023-03-29,Yoga Mat,South,22.27,65,1447.55
2023-03-29,Earbuds,South,70.77,0,0.0
2023-03-30,Shampoo,East,11.62,124,1440.8799999999999
2023-03-30,Protein Bar,West,2.01,64,128.64
2023-03-30,Smart Lamp,South,37.55,116,4355.799999999999
2023-03-30,Yoga Mat,East,16.03,98,1570.94
2023-03-30,Earbuds,West,67.21,95,6384.95
2023-03-31,Shampoo,West,9.25,106,980.5
2023-03-31,Protein Bar,East,2.6,57,148.20000000000002
2023-03-31,Smart Lamp,West,35.82,108,3868.56
2023-03-31,Yoga Mat,East,15.64,95,1485.8
2023-03-31,Earbuds,West,63.28,74,4682.72
2023-04-01,Shampoo,West,11.24,88,989.12
2023-04-01,Protein Bar,South,2.67,68,181.56
2023-04-01,Smart Lamp,South,35.51,123,4367.73
2023-04-01,Yoga Mat,West,18.49,100,1848.9999999999998
2023-04-01,Earbuds,East,65.42,35,2289.7000000000003
2023-04-02,Shampoo,South,8.01,110,881.1
2023-04-02,Protein Bar,North,2.03,103,209.08999999999997
2023-04-02,Smart Lamp,North,32.59,110,3584.9000000000005
2023-04-02,Yoga Mat,North,18.02,80,1441.6
2023-04-02,Earbuds,North,58.51,72,4212.72
2023-04-03,Shampoo,North,10.75,108,1161.0
2023-04-03,Protein Bar,West,2.91,121,352.11
2023-04-03,Smart Lamp,West,42.97,98,4211.0599999999995
2023-04-03,Yoga Mat,North,16.61,140,2325.4
2023-04-03,Earbuds,North,65.99,66,4355.339999999999
2023-04-04,Shampoo,West,9.09,103,936.27
2023-04-04,Protein Bar,East,2.93,142,416.06
2023-04-04,Smart Lamp,South,37.43,95,3555.85
2023-04-04,Yoga Mat,South,20.06,120,2407.2
2023-04-04,Earbuds,West,67.28,32,2152.96
2023-04-05,Shampoo,West,8.19,76,622.4399999999999
2023-04-05,Protein Bar,West,2.75,100,275.0
2023-04-05,Smart Lamp,North,45.84,92,4217.280000000001
2023-04-05,Yoga Mat,East,19.21,73,1402.3300000000002
2023-04-05,Earbuds,East,64.88,77,4995.759999999999
2023-04-06,Shampoo,South,10.0,106,1060.0
2023-04-06,Protein Bar,West,2.39,100,239.0
2023-04-06,Smart Lamp,West,42.69,75,3201.75
2023-04-06,Yoga Mat,South,16.63,80,1330.3999999999999
2023-04-06,Earbuds,West,68.86,99,6817.14
2023-04-07,Shampoo,East,10.54,116,1222.6399999999999
2023-04-07,Protein Bar,South,2.4,102,244.79999999999998
2023-04-07,Smart Lamp,East,43.49,51,2217.9900000000002
2023-04-07,Yoga Mat,South,17.49,88,1539.12
2023-04-07,Earbuds,South,61.51,73,4490.23
2023-04-08,Shampoo,East,8.87,79,700.7299999999999
2023-04-08,Protein Bar,South,2.49,108,268.92
2023-04-08,Smart Lamp,North,31.68,133,4213.44
2023-04-08,Yoga Mat,South,15.59,99,1543.41
2023-04-08,Earbuds,East,64.81,70,4536.7
2023-04-09,Shampoo,South,10.12,133,1345.9599999999998
2023-04-09,Protein Bar,West,2.02,75,151.5
2023-04-09,Smart Lamp,South,41.11,111,4563.21
2023-04-09,Yoga Mat,East,18.62,114,2122.6800000000003
2023-04-09,Earbuds,West,68.16,22,1499.52
2023-04-10,Shampoo,West,8.56,86,736.1600000000001
2023-04-10,Protein Bar,West,2.91,99,288.09000000000003
2023-04-10,Smart Lamp,South,32.6,92,2999.2000000000003
2023-04-10,Yoga Mat,North,22.72,79,1794.8799999999999
2023-04-10,Earbuds,North,60.89,94,5723.66
2023-04-11,Shampoo,South,11.52,78,898.56
